Entity,Year,Estimated maternal deaths
Afghanistan,2016,9867.574
Afghanistan,2017,9081.677
Afghanistan,2018,8996.077
Afghanistan,2019,8878.076
Afghanistan,2020,8698.113
Africa,2016,214324.38
Africa,2017,213705.03
Africa,2018,213123.27
Africa,2019,211770.3
Africa,2020,207742.58
Albania,2016,2.196508
Albania,2017,2.0738063
Albania,2018,1.6287878
Albania,2019,1.591507
Albania,2020,2.4829338
Algeria,2016,904.2167
Algeria,2017,908.3727
Algeria,2018,802.8612
Algeria,2019,763.3077
Algeria,2020,757.5242
Angola,2016,3251.3743
Angola,2017,3112.0278
Angola,2018,2930.02
Angola,2019,2923.5007
Angola,2020,2913.6323
Antigua and Barbuda,2016,0.21251471
Antigua and Barbuda,2017,0.2112252
Antigua and Barbuda,2018,0.1886736
Antigua and Barbuda,2019,0.18913203
Antigua and Barbuda,2020,0.21247947
Argentina,2016,295.90686
Argentina,2017,273.06076
Argentina,2018,228.78816
Argentina,2019,215.50322
Argentina,2020,285.56448
Armenia,2016,10.026829
Armenia,2017,9.750261
Armenia,2018,9.53853
Armenia,2019,9.227061
Armenia,2020,9.516402
Asia,2016,83722.7
Asia,2017,79920.16
Asia,2018,76753.18
Asia,2019,74456.85
Asia,2020,67967.93
Australia,2016,15.993327
Australia,2017,14.886902
Australia,2018,14.157607
Australia,2019,15.510796
Australia,2020,8.706868
Austria,2016,4.6424513
Austria,2017,4.4758077
Austria,2018,4.9523144
Austria,2019,4.6713457
Austria,2020,4.3395624
Azerbaijan,2016,44.751198
Azerbaijan,2017,39.80166
Azerbaijan,2018,39.46768
Azerbaijan,2019,39.498272
Azerbaijan,2020,53.808044
Bahamas,2016,3.9652493
Bahamas,2017,3.8666406
Bahamas,2018,3.8540156
Bahamas,2019,4.1013494
Bahamas,2020,3.8525317
Bahrain,2016,3.1650374
Bahrain,2017,3.231505
Bahrain,2018,2.8864386
Bahrain,2019,2.9007912
Bahrain,2020,3.0205975
Bangladesh,2016,5956.934
Bangladesh,2017,5490.9067
Bangladesh,2018,5207.098
Bangladesh,2019,4779.268
Bangladesh,2020,3719.144
Barbados,2016,1.435864
Barbados,2017,1.4205983
Barbados,2018,1.4129215
Barbados,2019,1.3987012
Barbados,2020,1.1732404
Belarus,2016,1.461914
Belarus,2017,1.366005
Belarus,2018,1.0672177
Belarus,2019,1.0062708
Belarus,2020,1.0027447
Belgium,2016,5.970839
Belgium,2017,5.8456445
Belgium,2018,5.7913923
Belgium,2019,5.3398695
Belgium,2020,5.4692426
Belize,2016,4.7466397
Belize,2017,5.757878
Belize,2018,6.2757463
Belize,2019,6.020883
Belize,2020,9.085178
Benin,2016,2585.1123
Benin,2017,2555.4202
Benin,2018,2473.6199
Benin,2019,2416.243
Benin,2020,2451.0164
Bhutan,2016,7.9620986
Bhutan,2017,7.523542
Bhutan,2018,6.3049846
Bhutan,2019,6.1609154
Bhutan,2020,5.994776
Bolivia,2016,423.0039
Bolivia,2017,431.46936
Bolivia,2018,450.86743
Bolivia,2019,462.2297
Bolivia,2020,423.18646
Bosnia and Herzegovina,2016,1.9925714
Bosnia and Herzegovina,2017,1.839152
Bosnia and Herzegovina,2018,1.7197158
Bosnia and Herzegovina,2019,1.6182313
Bosnia and Herzegovina,2020,1.6438357
